"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.424531700E-2,-1.475239545E-1,-9.850202128E-3,-6.062837690E-2,1.598003245E-1
1.821931700E-2,-1.481348276E-1,-6.185010541E-3,-6.001751125E-2,1.599508773E-1
2.025131700E-2,-1.463022232E-1,-4.352414981E-3,-5.696318299E-2,1.570607788E-1
2.226731700E-2,-1.432479024E-1,-6.185010541E-3,-5.818491429E-2,1.547375202E-1
2.427798300E-2,-1.401935667E-1,-4.963280167E-3,-5.513058975E-2,1.507257517E-1
2.628598300E-2,-1.359175146E-1,-6.185010541E-3,-5.574145541E-2,1.470337885E-1
2.829238300E-2,-1.298088580E-1,-9.239336476E-3,-5.329799280E-2,1.406285213E-1
3.029771600E-2,-1.224784851E-1,-1.412625890E-2,-5.329799280E-2,1.343175586E-1
3.230228700E-2,-1.145372316E-1,-1.656972058E-2,-5.268712714E-2,1.271584305E-1
3.430628700E-2,-1.035416573E-1,-2.451096848E-2,-5.207626149E-2,1.184634939E-1
3.630973100E-2,-8.216137439E-2,-4.344778880E-2,-5.329799280E-2,1.071395251E-1
3.831153100E-2,-8.216137439E-2,-4.344778880E-2,-5.329799280E-2,1.071395251E-1
4.031434900E-2,-7.483099401E-2,-6.849326193E-2,-5.390885845E-2,1.148789346E-1
4.231693200E-2,-6.261368841E-2,-7.643451542E-2,-5.085453019E-2,1.111255703E-1
4.431931600E-2,-5.283984542E-2,-1.027017161E-1,-5.268712714E-2,1.269473321E-1
4.632153000E-2,-3.940080851E-2,-1.308015138E-1,-5.390885845E-2,1.468592004E-1
4.832359600E-2,-3.084869497E-2,-1.417970955E-1,-5.268712714E-2,1.543826145E-1
5.032553300E-2,-1.863138936E-2,-1.698969007E-1,-5.513058975E-2,1.795869356E-1
5.232729700E-2,-1.313360315E-2,-1.808924675E-1,-5.390885845E-2,1.892108383E-1
5.432896300E-2,-2.748893574E-3,-2.041053474E-1,-5.635231733E-2,2.117596112E-1
5.633054100E-2,5.803219974E-3,-2.273182273E-1,-6.307183951E-2,2.359773522E-1
5.833064100E-2,5.803219974E-3,-2.273182273E-1,-6.307183951E-2,2.359773522E-1
6.033206900E-2,1.679879427E-2,-2.401463985E-1,-6.490442902E-2,2.493292545E-1
6.233343200E-2,1.618792862E-2,-2.419789881E-1,-6.673702598E-2,2.515347100E-1
6.433473600E-2,1.863138936E-2,-2.535854280E-1,-6.979135424E-2,2.636731520E-1
6.633598600E-2,1.985312067E-2,-2.572506368E-1,-7.040221989E-2,2.674481428E-1
6.833718600E-2,2.046398632E-2,-2.621375620E-1,-7.101308554E-2,2.723558967E-1
7.033833900E-2,1.863138936E-2,-2.658027411E-1,-7.406741381E-2,2.765577835E-1
7.233945000E-2,1.679879427E-2,-2.609158158E-1,-7.345654815E-2,2.715789515E-1
7.434052100E-2,8.857546374E-3,-2.651918828E-1,-7.590000331E-2,2.759818859E-1
7.634155500E-2,9.162978968E-4,-2.603049576E-1,-7.528914511E-2,2.709759509E-1
7.834208800E-2,9.162978968E-4,-2.603049576E-1,-7.528914511E-2,2.709759509E-1
8.034188800E-2,-8.246680722E-3,-2.511419654E-1,-7.712173462E-2,2.628460699E-1
8.234175400E-2,-1.679879427E-2,-2.438115925E-1,-7.406741381E-2,2.553669397E-1
8.434162000E-2,-2.107485011E-2,-2.419789881E-1,-7.284568250E-2,2.535832672E-1
8.634148600E-2,-3.329215571E-2,-2.328160107E-1,-7.162395120E-2,2.458488415E-1
8.834135200E-2,-3.268129006E-2,-2.297616899E-1,-6.979135424E-2,2.423413584E-1
9.034121800E-2,-4.184427112E-2,-2.212095708E-1,-6.551529467E-2,2.344714717E-1
9.234108400E-2,-4.795292020E-2,-2.157117873E-1,-6.185010448E-2,2.294700268E-1
9.434095000E-2,-5.528330430E-2,-2.151009291E-1,-6.001751125E-2,2.300581559E-1
9.634085000E-2,-6.505715102E-2,-2.041053474E-1,-5.513058975E-2,2.212030914E-1
9.834018300E-2,-6.750060618E-2,-2.016618848E-1,-5.146539584E-2,2.187979309E-1
1.003400160E-1,-7.116580009E-2,-1.986075640E-1,-4.841107130E-2,2.164559248E-1
1.023398490E-1,-7.727445662E-2,-1.937206388E-1,-4.352414981E-2,2.130572203E-1
1.043396820E-1,-8.032877743E-2,-1.924989074E-1,-4.108068720E-2,2.125938962E-1
1.063395150E-1,-8.827003092E-2,-1.894445866E-1,-3.008511290E-2,2.111538865E-1
1.083393480E-1,-8.827003092E-2,-1.851685345E-1,-2.825251780E-2,2.070680789E-1
1.103391810E-1,-9.498954564E-2,-1.808924675E-1,-2.214386500E-2,2.055126501E-1
1.123390470E-1,-9.743300825E-2,-1.766164154E-1,-1.420261711E-2,2.022084657E-1
1.143388800E-1,-1.041525230E-1,-1.753946841E-1,-1.298088674E-2,2.044004566E-1
1.163387130E-1,-1.127046347E-1,-1.662317067E-1,4.581489484E-4,2.008370606E-1
1.183390130E-1,-1.114829108E-1,-1.625665128E-1,2.290744567E-3,1.971333508E-1
1.203388460E-1,-1.157589629E-1,-1.613447815E-1,5.955935922E-3,1.986649169E-1
1.223386790E-1,-1.218676195E-1,-1.534035355E-1,1.023199316E-2,1.961862764E-1
1.243385120E-1,-1.298088580E-1,-1.497383416E-1,1.389718428E-2,1.986581040E-1
1.263383450E-1,-1.322523206E-1,-1.375210434E-1,2.061670274E-2,1.919056073E-1
1.283381780E-1,-1.377501190E-1,-1.277471930E-1,2.550362423E-2,1.895913380E-1
1.303380110E-1,-1.408044398E-1,-1.185842156E-1,2.794708498E-2,1.861965253E-1
1.323378440E-1,-1.414152980E-1,-1.088103727E-1,3.466660157E-2,1.817684158E-1
1.343376770E-1,-1.475239545E-1,-1.027017161E-1,3.100141138E-2,1.824062695E-1
1.363375100E-1,-1.518000066E-1,-7.582364976E-2,3.711006418E-2,1.736940550E-1
1.383368760E-1,-1.518000066E-1,-7.582364976E-2,3.711006418E-2,1.736940550E-1
1.403368420E-1,-1.475239545E-1,-7.154759020E-2,3.711006418E-2,1.681057158E-1
1.423367420E-1,-1.463022232E-1,-5.994115397E-2,3.527746722E-2,1.619931546E-1
1.443366420E-1,-1.395827085E-1,-5.810855702E-2,3.527746722E-2,1.552560356E-1
1.463365080E-1,-1.353066564E-1,-4.772384837E-2,3.039054573E-2,1.466596135E-1
1.483363740E-1,-1.230893433E-1,-3.795000166E-2,2.489275858E-2,1.311900853E-1
1.503362400E-1,-1.163698286E-1,-3.795000166E-2,2.428189293E-2,1.247868180E-1
1.523361060E-1,-9.987647086E-2,-3.428481147E-2,1.817324013E-2,1.071495422E-1
