"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.802078100E-2,-1.576795876E-1,-1.576795876E-1,-1.145372353E-2,2.232865703E-1
3.199478100E-2,-1.595121920E-1,-1.650099754E-1,-8.399397135E-3,2.296584013E-1
3.402078100E-2,-1.619556546E-1,-1.705077589E-1,-3.512475174E-3,2.351911295E-1
3.603378100E-2,-1.650099754E-1,-1.894445866E-1,5.039638374E-3,2.512825926E-1
3.804244700E-2,-1.662317067E-1,-1.992184222E-1,9.315694682E-3,2.596300103E-1
4.004894700E-2,-1.705077589E-1,-2.151009291E-1,2.092213556E-2,2.752799326E-1
4.205154700E-2,-1.711186320E-1,-2.193769813E-1,2.947424725E-2,2.797795156E-1
4.405571300E-2,-1.766164154E-1,-2.328160107E-1,3.924809024E-2,2.948509210E-1
4.605928400E-2,-1.741729528E-1,-2.468659133E-1,5.451972410E-2,3.070039038E-1
4.806240900E-2,-1.778381467E-1,-2.541962862E-1,6.246097013E-2,3.164546273E-1
5.006518600E-2,-1.815033406E-1,-2.658027411E-1,7.956519723E-2,3.315496651E-1
5.206638600E-2,-1.827250719E-1,-2.694679201E-1,8.384125680E-2,3.362004881E-1
5.406865800E-2,-1.821141988E-1,-2.743548453E-1,9.178250283E-2,3.418481978E-1
5.607074100E-2,-1.772272736E-1,-2.792417705E-1,9.911288321E-2,3.452663269E-1
5.807266400E-2,-1.827250719E-1,-2.804635167E-1,1.039998084E-1,3.505198942E-1
6.007437800E-2,-1.790598780E-1,-2.847395539E-1,1.088867337E-1,3.535468487E-1
6.207597800E-2,-1.821141988E-1,-2.847395539E-1,1.131627858E-1,3.564379484E-1
6.407747800E-2,-1.790598780E-1,-2.841286957E-1,1.162171140E-1,3.553842614E-1
6.607888900E-2,-1.778381467E-1,-2.810743749E-1,1.198823079E-1,3.535547743E-1
6.808022200E-2,-1.784490049E-1,-2.786309123E-1,1.217148975E-1,3.525531859E-1
7.008148500E-2,-1.766164154E-1,-2.706896663E-1,1.204931661E-1,3.449418164E-1
7.208203500E-2,-1.784490049E-1,-2.694679201E-1,1.198823079E-1,3.447154987E-1
7.408317700E-2,-1.784490049E-1,-2.651918828E-1,1.192714423E-1,3.411692527E-1
7.608426700E-2,-1.766164154E-1,-2.548071742E-1,1.168279797E-1,3.313137954E-1
7.808531000E-2,-1.784490049E-1,-2.480876446E-1,1.131627858E-1,3.258793378E-1
8.008631000E-2,-1.790598780E-1,-2.370920777E-1,1.058324054E-1,3.153975131E-1
8.208727000E-2,-1.766164154E-1,-2.273182273E-1,9.972374886E-2,3.046502269E-1
8.408819300E-2,-1.802816093E-1,-2.248747647E-1,9.789115191E-2,3.043892180E-1
8.608908100E-2,-1.778381467E-1,-2.138791978E-1,8.872817457E-2,2.919647353E-1
8.808993800E-2,-1.827250719E-1,-2.132683247E-1,8.506298810E-2,2.934408666E-1
