"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.303693900E-2,-1.823432744E-1,-2.144900560E-1,-1.406517178E-1,3.147029704E-1
2.749096900E-2,-1.823432744E-1,-2.144900560E-1,-1.406517178E-1,3.147029704E-1
2.951696900E-2,-1.762346178E-1,-2.144900560E-1,-1.363756657E-1,3.092942722E-1
3.152996900E-2,-1.664607823E-1,-2.126574665E-1,-1.345430762E-1,3.017187920E-1
3.353863500E-2,-1.481348276E-1,-2.065488100E-1,-1.296561509E-1,2.853367406E-1
3.554513500E-2,-1.340849251E-1,-1.986075640E-1,-1.253800988E-1,2.704512909E-1
3.755153500E-2,-1.291979998E-1,-1.894445866E-1,-1.259909570E-1,2.616392475E-1
3.955686800E-2,-1.139263660E-1,-1.790598780E-1,-1.223257631E-1,2.449596887E-1
4.156143900E-2,-1.072068512E-1,-1.711186320E-1,-1.192714423E-1,2.345220077E-1
4.356543900E-2,-9.804387391E-2,-1.631773859E-1,-1.168279797E-1,2.233567490E-1
4.556899400E-2,-8.765916526E-2,-1.497383416E-1,-1.076650023E-1,2.041995419E-1
4.756959400E-2,-8.643743396E-2,-1.460731477E-1,-1.082758680E-1,2.013267445E-1
4.957250300E-2,-8.765916526E-2,-1.460731477E-1,-1.101084575E-1,2.028432058E-1
5.157516900E-2,-8.277224004E-2,-1.454622895E-1,-1.052215397E-1,1.976919164E-1
5.357755300E-2,-8.277224004E-2,-1.442405581E-1,-1.058324054E-1,1.971219936E-1
5.557976700E-2,-8.155050874E-2,-1.411862224E-1,-1.033889428E-1,1.930629648E-1
5.758183300E-2,-8.155050874E-2,-1.405753642E-1,-1.021672115E-1,1.919636882E-1
5.958377000E-2,-7.910704613E-2,-1.411862224E-1,-1.015563458E-1,1.910632501E-1
6.158559300E-2,-7.116580009E-2,-1.399645060E-1,-1.027780771E-1,1.876645070E-1
6.358731500E-2,-7.177666575E-2,-1.362993121E-1,-1.009454802E-1,1.841721537E-1
6.558894600E-2,-5.955936015E-2,-1.332449764E-1,-1.101084575E-1,1.828261839E-1
6.758919600E-2,-5.955936015E-2,-1.332449764E-1,-1.101084575E-1,1.828261839E-1
6.959067200E-2,-6.139195710E-2,-1.320232451E-1,-1.101084575E-1,1.825458355E-1
7.159208100E-2,-5.528330430E-2,-1.332449764E-1,-1.156062484E-1,1.848655515E-1
7.359342800E-2,-5.345070735E-2,-1.320232451E-1,-1.180497110E-1,1.849941881E-1
7.559471900E-2,-5.345070735E-2,-1.356884390E-1,-1.204931661E-1,1.891743473E-1
7.759595900E-2,-5.406157300E-2,-1.381319016E-1,-1.204931661E-1,1.911064599E-1
7.959715100E-2,-5.283984542E-2,-1.436296850E-1,-1.229366288E-1,1.963032103E-1
8.159829900E-2,-5.283984542E-2,-1.442405581E-1,-1.235474944E-1,1.971328772E-1
8.359933400E-2,-5.589416996E-2,-1.460731477E-1,-1.223257631E-1,1.985575862E-1
8.560033400E-2,-6.200282276E-2,-1.424079537E-1,-1.094975919E-1,1.900370962E-1
8.760043400E-2,-6.200282276E-2,-1.424079537E-1,-1.094975919E-1,1.900370962E-1
8.960090000E-2,-6.872233748E-2,-1.430188268E-1,-1.058324054E-1,1.907292388E-1
9.160100000E-2,-7.544185966E-2,-1.460731477E-1,-9.605856240E-2,1.904103098E-1
9.360110000E-2,-8.155050874E-2,-1.472948790E-1,-8.750644326E-2,1.897462634E-1
9.560120000E-2,-8.765916526E-2,-1.509600729E-1,-7.712173462E-2,1.908424345E-1
9.760110000E-2,-9.254608303E-2,-1.607339233E-1,-6.429356337E-2,1.963003665E-1
9.960093300E-2,-9.621127695E-2,-1.656208336E-1,-5.940664560E-2,2.005393225E-1
1.016007660E-1,-1.023199260E-1,-1.741729528E-1,-4.902193695E-2,2.078671091E-1
1.036005990E-1,-9.865473956E-2,-1.833359301E-1,-3.924809024E-2,2.118613544E-1
1.056004320E-1,-9.926560521E-2,-1.973858327E-1,-2.031126991E-2,2.218724296E-1
1.076002320E-1,-9.926560521E-2,-1.973858327E-1,-2.031126991E-2,2.218724296E-1
1.096000650E-1,-9.804387391E-2,-2.016618848E-1,-1.908953860E-2,2.250433902E-1
1.115998980E-1,-9.315694869E-2,-2.071596831E-1,-4.428773187E-3,2.271848706E-1
1.135997640E-1,-9.132435173E-2,-2.096031308E-1,-1.985311974E-3,2.286428462E-1
1.155995640E-1,-8.949175477E-2,-2.077705413E-1,7.788531948E-3,2.263581968E-1
1.175993640E-1,-8.521570265E-2,-2.120465934E-1,1.939497143E-2,2.293504713E-1
1.195991640E-1,-8.277224004E-2,-2.126574665E-1,2.367102914E-2,2.294226654E-1
1.215989640E-1,-8.277224004E-2,-2.151009291E-1,3.283400834E-2,2.328040497E-1
1.235987640E-1,-7.788532227E-2,-2.163226604E-1,3.588833287E-2,2.327006431E-1
1.255985640E-1,-7.910704613E-2,-2.096031308E-1,5.421429127E-2,2.305007301E-1
1.275983640E-1,-7.910704613E-2,-2.096031308E-1,5.421429127E-2,2.305007301E-1
1.295981640E-1,-7.360926270E-2,-2.089922726E-1,5.665775016E-2,2.287054748E-1
1.315979300E-1,-7.422012836E-2,-2.071596831E-1,6.459899992E-2,2.293399061E-1
1.335976960E-1,-7.177666575E-2,-2.065488100E-1,6.826419383E-2,2.290726977E-1
1.355974620E-1,-7.116580009E-2,-2.047162205E-1,7.437284291E-2,2.291388701E-1
1.375972280E-1,-6.505715102E-2,-2.010510266E-1,7.742717117E-2,2.250531382E-1
1.395969940E-1,-6.383541971E-2,-1.992184222E-1,7.742717117E-2,2.230648053E-1
1.415967600E-1,-6.444628537E-2,-1.943315119E-1,8.048149943E-2,2.199893905E-1
1.435965930E-1,-6.139195710E-2,-1.918880492E-1,8.170322329E-2,2.174061005E-1
1.455964260E-1,-6.322455406E-2,-1.931097806E-1,7.559457421E-2,2.168023783E-1
1.475962260E-1,-6.322455406E-2,-1.931097806E-1,7.559457421E-2,2.168023783E-1
1.495956590E-1,-6.322455406E-2,-1.937206388E-1,7.376197726E-2,2.167160802E-1
1.515954590E-1,-6.566801667E-2,-1.967749745E-1,6.643159688E-2,2.178206511E-1
1.535952590E-1,-7.177666575E-2,-2.041053474E-1,5.849034712E-2,2.241249725E-1
1.555950590E-1,-7.177666575E-2,-2.089922726E-1,5.482515693E-2,2.276740161E-1
1.575948590E-1,-8.032877743E-2,-2.193769813E-1,4.199698567E-2,2.373662133E-1
1.595947250E-1,-8.216137439E-2,-2.273182273E-1,3.711006418E-2,2.445428894E-1
1.615945580E-1,-9.254608303E-2,-2.419789881E-1,2.550362423E-2,2.603248797E-1
1.635943910E-1,-9.926560521E-2,-2.590832114E-1,1.634064503E-2,2.779294650E-1
1.655942240E-1,-1.127046347E-1,-2.829069793E-1,-3.817907767E-3,3.045542153E-1
1.675940900E-1,-1.127046347E-1,-2.829069793E-1,-3.817907767E-3,3.045542153E-1
1.695935560E-1,-1.188132912E-1,-2.914590836E-1,-8.093964309E-3,3.148499767E-1
1.715933890E-1,-1.267545372E-1,-3.110067546E-1,-2.092213556E-2,3.364961365E-1
1.735932220E-1,-1.304197311E-1,-3.299435973E-1,-3.497203439E-2,3.565040349E-1
1.755931220E-1,-1.316414624E-1,-3.409391642E-1,-4.108068720E-2,3.677724992E-1
1.775930220E-1,-1.316414624E-1,-3.562107980E-1,-5.329799280E-2,3.834791824E-1
1.795929220E-1,-1.316414624E-1,-3.672063649E-1,-6.062837690E-2,3.947730856E-1
1.815928220E-1,-1.267545372E-1,-3.806453943E-1,-7.345654815E-2,4.078645528E-1
1.835927220E-1,-1.163698286E-1,-3.885866404E-1,-8.689557761E-2,4.148401565E-1
1.855926220E-1,-9.498954564E-2,-4.032474160E-1,-1.015563458E-1,4.265503296E-1
1.875925220E-1,-9.498954564E-2,-4.032474160E-1,-1.015563458E-1,4.265503296E-1
1.895924220E-1,-8.093964309E-2,-4.093560576E-1,-1.131627858E-1,4.323533553E-1
1.915923550E-1,-6.811147183E-2,-4.069126248E-1,-1.186605766E-1,4.292987180E-1
1.935922210E-1,-5.345070735E-2,-4.056908786E-1,-1.278235465E-1,4.286967765E-1
